text,topic,summary
"A Fox, swimming across a river, was barely able to reach the bank, where he lay bruised and exhausted from his struggle with the swift current. Soon a swarm of blood-sucking flies settled on him; but he lay quietly, still too weak to run away from them.

	A Hedgehog happened by. 'Let me drive the flies away,' he said kindly.

	'No, no!' exclaimed the Fox, 'do not disturb them! They have taken all they can hold. If you drive them away, another greedy swarm will come and take the little blood I have left.'",the fox and the hedgehog_segment_0.txt," A Fox, swimming across a river, was barely able to reach the bank, where he lay bruised and exhausted from his struggle with the swift current . Soon a swarm of blood-sucking flies settled on him; but he lay quietly"
"

	'It is not the place,' I answered, getting out with the calmness of despair.

	'There's a light in that house and a woman looking out. Go and ask her where we are,' suggested M, waking from her doze.

	Ready now for any desperate measure, I rushed up the steps, tried vainly to read the number, but could not, and rang the bell with the firm determination to stay in that house till morning at any cost.",lost in a london fog_segment_39.txt," There's a light in that house and a woman looking out. Go and ask her where we are,' suggested M, waking from her doze . 'It is not the place,' I answered, getting out ."
"

	She was very old and almost bent double. She leaned upon a stick and carried on her back a bundle of firewood, which she had collected in the forest; her apron was tied round it, and John saw three great stems of fern and some willow twigs peeping out. just as she came close up to them, her foot slipped and she fell to the ground screaming loudly; poor old woman, she had broken her leg! John proposed directly that they should carry the old woman home to her cottage; but the stranger opened his knapsack and took out a box, in which he said he had a salve that would quickly make her leg well and strong again, so that she would be able to walk home herself, as if her leg had never been broken. And all that he would ask in return was the three fern stems which she carried in her apron.",the travelling companion_segment_20.txt," She was carrying a bundle of firewood, which she had collected in the forest, and her foot slipped and she fell to the ground screaming loudly . The stranger said he had a salve that would quickly make her leg well and strong"
A poor Woodman was cutting down a tree near the edge of a deep pool in the forest. It was late in the day and the Woodman was tired. He had been working since sunrise and his strokes were not so sure as they had been early that morning. Thus it happened that the axe slipped and flew out of his hands into the pool.,mercury and the woodman_segment_0.txt, A poor Woodman was cutting down a tree near the edge of a deep pool in the forest . The axe slipped and flew out of his hands into the pool .
"

	FIFTH EVENING

	'Yesterday,' began the Moon, 'I looked down upon the turmoil of Paris. My eye penetrated into an apartment of the Louvre. An old grandmother, poorly cladâshe belonged to the working classâwas following one of the under-servants into the great empty throne-room, for this was the apartment she wanted to seeâthat she was resolved to see; it had cost her many a little sacrifice, and many a coaxing word, to penetrate thus far. She folded her thin hands, and looked round with an air of reverence, as if she had been in a church.",what the moon saw_segment_13.txt," An old grandmother, poorly clad, was following one of the under-servants into the great empty throne-room . She folded her thin hands, and looked round with an air of reverence, as if she had been in a church"
"

	Because that girl wasnât any mutt of a girl. What wouldnât I have give right then for a stick of chewing gum to chew, or a lozenger,or some liquorice, or most anything. I was glad I had those twenty-five cent cigars in my pocket and right away I give that fellow one and lit one myself. Then that fat man got up and we changed places and there I was, plunked right down beside her.",im a fool_segment_35.txt," Because that girl wasnât any mutt of a girl, I was glad I had those twenty-five cent cigars in my pocket . Then that fat man got up and we changed places and there I was,"
"

	'Up on the hill stood a man, a poet. He emptied the mead horn with the broad silver rim, and murmured a name. He begged the winds not to betray him, but I heard the name. I knew it. A count's coronet sparkles above it, and therefore he did not speak it out. I smiled, for I knew that a poet's crown adorns his own name. The nobility of Eleanora d'Este is attached to the name of Tasso. And I also know where the Rose of Beauty blooms!'

	Thus spake the Moon, and a cloud came between us. May no cloud separate the poet from the rose!

	SEVENTH EVENING",what the moon saw_segment_19.txt, The poet's crown adorns his own name . The nobility of Eleanora d'Este is attached to the name of Tasso . And I also know where the Rose of Beauty blooms!'
"

	'Ten years afterwards I saw her again. I beheld her in a splendid ballroom: she was the beautiful bride of a rich merchant. I rejoiced at her happiness, and sought her on calm quiet eveningsâah, nobody thinks of my clear eye and my silent glance! Alas! my rose ran wild, like the rose bushes in the garden of the parsonage. There are tragedies in every-day life, and tonight I saw the last act of one.",what the moon saw_segment_8.txt," 'There are tragedies in every-day life, and tonight I saw the last act of one'"
"

	'Our dear son has engaged himself,' said one mother, 'dear innocent boy; his greatest ambition is that he may one day creep into a clergyman's ear. That is a very artless and loveable wish; and being engaged will keep him steady. What happiness for a mother!'",the beetle who went on his travels_segment_11.txt," 'Our dear son has engaged himself,' said one mother, 'dear innocent boy; his greatest ambition is that he may one day creep into a clergyman's ear'"
"

	And indeed, Mercury did appear, first to this one, then to that. To each one he showed an axe of gold, and each one eagerly claimed it to be the one he had lost. But Mercury did not give them the golden axe. Oh no! Instead he gave them each a hard whack over the head with it and sent them home. And when they returned next day to look for their own axes, they were nowhere to be found.

	Honesty is the best policy.

	

	

	

	",mercury and the woodman_segment_6.txt," Mercury did appear, first to this one, then to that . To each one he showed an axe of gold, and each one eagerly claimed it to be the one he had lost . But Mercury did not give them the golden axe,"
"

	SEVENTEENTH EVENING

	'I have spoken to you of Pompeii,' said the Moon; 'that corpse of a city, exposed in the view of living towns: I know another sight still more strange, and this is not the corpse, but the spectre of a city. Whenever the jetty fountains splash into the marble basins, they seem to me to be telling the story of the floating city. Yes, the spouting water may tell of her, the waves of the sea may sing of her fame! On the surface of the ocean a mist often rests, and that is her widow's veil. The bridegroom of the sea is dead, his palace and his city are his mausoleum! Dost thou know this city? She has never heard the rolling of wheels or the hoof-tread of horses in her streets, through which the fish swim, while the black gondola glides spectrally over the green water. I will show you the place,' continued the Moon, 'the largest square in it, and you will fancy yourself transported into the city of a fairy tale. The grass grows rank among the broad flagstones, and in the morning twilight thousands of tame pigeons flutter around the solitary lofty tower. On three sides you find yourself surrounded by cloistered walks. In these the silent Turk sits smoking his long pipe, the handsome Greek leans against the pillar and gazes at the upraised trophies and lofty masts, memorials of power that is gone. The flags hang down like mourning scarves. A girl rests there: she has put down her heavy pails filled with water, the yoke with which she has carried them rests on one of her shoulders, and she leans against the mast of victory. That is not a fairy palace you see before you yonder, but a church: the gilded domes and shining orbs flash back my beams; the glorious bronze horses up yonder have made journeys, like the bronze horse in the fairy tale: they have come hither, and gone hence, and have returned again. Do you notice the variegated splendour of the walls and windows? It looks as if Genius had followed the caprices of a child, in the adornment of these singular temples. Do you see the winged lion on the pillar? The gold glitters still, but his wings are tiedâthe lion is dead, for the king of the sea is dead; the great halls stand desolate, and where gorgeous paintings hung of yore, the naked wall now peers through. The lazzarone sleeps under the arcade, whose pavement in old times was to be trodden only by the feet of high nobility. From the deep wells, and perhaps from the prisons by the Bridge of Sighs, rise the accents of woe, as at the time when the tambourine was heard in the gay gondolas, and the golden ring was cast from the Bucentaur to Adria, the queen of the seas. Adria! shroud thyself in mists; let the veil of thy widowhood shroud thy form, and clothe in the weeds of woe the mausoleum of thy bridegroomâthe marble, spectral Venice.'",what the moon saw_segment_55.txt," The Moon said: 'Whenever the jetty fountains splash into the marble basins, they seem to me to be telling the story of the floating city' 'I will show you the place,' continued the Moon, 'the"
"IBRAHIM FADLALLAH shrugged bis shoulders: 'You do not understand, my friend. You cannot get it through your head that it is impossible to destroy caste and to create fraternity by Act of Parliament. Allahâyou can't even do it in your own country.'

	'But modern progressâthe telegraphâthe democracy of the railway carriageâ' interrupted the American.",strength of the little thin thread_segment_0.txt," IBRAHIM FADLALLAH shrugged bis shoulders: 'You do not understand, my friend. You cannot get it through your head that it is impossible to destroy caste and to create fraternity by Act of Parliament. Allahâ"
"

	Murmuring blessings on his head, we skipped into the respectable four-wheeler, and in a burst of confidence I offered Mr. Bull my purse to defray the expenses of our long drive.

	'Rash woman, you'll never see your money again!' cried M, hiding her Roman earrings and clutching her Etruscan locket, prepared for highway robbery if not murder.",lost in a london fog_segment_31.txt," 'Rash woman, you'll never see your money again!' cried M, hiding her Roman earrings and clutching her Etruscan locket ."
"

	'And yet she had only spoken the truth. He did love her, love her adoringly, as he loved what was great and lofty in art. At her wedding he was the merriest among the guests, but in the stillness of night he wept: if the public had seen his distorted face then, they would have applauded rapturously.",what the moon saw_segment_51.txt," He did love her, love her adoringly, as he loved what was great and lofty in art . At her wedding he was the merriest among the guests, but in the stillness of night he wept ."
"

	'If I deserted the lowly house, where the fortunes of my sons first began to bloom, fortune would desert them!' It was a superstition, but a superstition of such a class, that he who knows the story and has seen this picture, need have only two words placed under the picture to make him understand it; and these two words are: 'A mother.'",what the moon saw_segment_72.txt," 'If I deserted the lowly house, where the fortunes of my sons first began to bloom, fortune would desert them!' It was a superstition of such a class, that he who knows the story and has seen this picture, need"
"

	I got the place with Harry and I liked Burt fine. We got along splendid together. He was a big n------ with a lazy sprawling body and soft, kind eyes, and when it came to a fight he could hit like Jack Johnson. He had Bucephalus, a big black pacing stallion that could do 2. 09 or 2. 10, if he had to, and I had a little gelding named Doctor Fritz that never lost a race all fall when Harry wanted him to win.",im a fool_segment_4.txt," He was a big n------ with a lazy sprawling body and soft, kind eyes, and when it came to a fight he could hit like Jack Johnson . He had Bucephalus, a big black pacing stallion that could do"
"

	It began at three oâclock one October afternoon as I sat in the grandstand at the fall trotting and pacing meet at Sandusky, Ohio.",im a fool_segment_1.txt," It began at three oâclock one October afternoon as I sat in the grandstand at the fall trotting meet at Sandusky, Ohio ."
"

	EIGHTH EVENING

	Heavy clouds obscured the sky, and the Moon did not make his appearance at all. I stood in my little room, more lonely than ever, and looked up at the sky where he ought to have shown himself. My thoughts flew far away, up to my great friend, who every evening told me such pretty tales, and showed me pictures. Yes, he has had an experience indeed. He glided over the waters of the Deluge, and smiled on Noah's ark just as he lately glanced down upon me, and brought comfort and promise of a new world that was to spring forth from the old. When the Children of Israel sat weeping by the waters of Babylon, he glanced mournfully upon the willows where hung the silent harps. When Romeo climbed the balcony, and the promise of true love fluttered like a cherub toward heaven, the round Moon hung, half hidden among the dark cypresses, in the lucid air. He saw the captive giant at St. Helena, looking from the lonely rock across the wide ocean, while great thoughts swept through his soul. Ah! what tales the Moon can tell. Human life is like a story to him. To-night I shall not see thee again, old friend. Tonight I can draw no picture of the memories of thy visit. And, as I looked dreamily towards the clouds, the sky became bright. There was a glancing light, and a beam from the Moon fell upon me. It vanished again, and dark clouds flew past: but still it was a greeting, a friendly good-night offered to me by the Moon.",what the moon saw_segment_24.txt," Heavy clouds obscured the sky, and the Moon did not make his appearance at all . He glided over the waters of the Deluge, and smiled on Noah's ark just as he lately glanced down upon me ."
"

	'Their earthly thoughts met, but my cold beam lay between the two, like the sword of the cherub.'",what the moon saw_segment_77.txt," 'Their earthly thoughts met, but my cold beam lay between them, like the sword of the cherub'"
"POOR John was very sad; for his father was so ill, he had no hope of his recovery. John sat alone with the sick man in the little room, and the lamp had nearly burnt out; for it was late in the night.",the travelling companion_segment_0.txt," John sat alone with the sick man in the little room, and the lamp had nearly burnt out . John was very sad; for his father was so ill, he had no hope of his recovery ."
"

	Out flew the little maid to get us a cab, and we hurried on our wraps eager to be gone. But we waited and waited, for Mary Ann did not come, and we were beginning to think something had happened to her, when she came hurrying back to say that all the cabs were gone from the neighboring stand, and she had run to another, where, after some delay, she had secured a hansom.",lost in a london fog_segment_2.txt," Out flew the little maid to get us a cab, and we hurried on our wraps eager to be gone . But we waited and waited, for Mary Ann did not come . She came hurrying back to say that all the cabs"
"

	And then, pretty soon, the horses came out for the 2. 18 pace and there was a horse in it I knew. He was a horse Bob French had in his string but Bob didnât own him. He was a horse owned by a Mr. Mathers down at Marietta, Ohio.",im a fool_segment_22.txt," There was a horse Bob French had in his string but Bob didnât own him . The horse was owned by a Mr. Mathers down at Marietta, Ohio ."
"

	Enjoy our complete collection of Short Stories for Children and Fairy Tales Guide.

	

	

	

	",the travelling companion_segment_53.txt, The Fairy Tales Guide is a collection of Short Stories for Children and Fairy Tales .
"

	'The morning dawn came glimmering red. I saw a caravan of emigrant peasant families who were bound to Hamburgh, there to take ship for America, where fancied prosperity would bloom for them. The mothers carried their little children at their backs, the elder ones tottered by their sides, and a poor starved horse tugged at a cart that bore their scanty effects. The cold wind whistled, and therefore the little girl nestled closer to the mother, who, looking up at my decreasing disc, thought of the bitter want at home, and spoke of the heavy taxes they had not been able to raise. The whole caravan thought of the same thing; therefore, the rising dawn seemed to them a message from the sun, of fortune that was to gleam brightly upon them. They heard the dying nightingale sing; it was no false prophet, but a harbinger of fortune. The wind whistled, therefore they did not understand that the nightingale sung, 'Fare away over the sea! Thou hast paid the long passage with all that was thine, and poor and helpless shalt thou enter Canaan. Thou must sell thyself, thy wife, and thy children. But your griefs shall not last long. Behind the broad fragrant leaves lurks the goddess of Death, and her welcome kiss shall breathe fever into thy blood. Fare away, fare away, over the heaving billows.' And the caravan listened well pleased to the song of the nightingale, which seemed to promise good fortune. Day broke through the light clouds; country people went across the heath to church; the black-gowned women with their white head-dresses looked like ghosts that had stepped forth from the church pictures. All around lay a wide dead plain, covered with faded brown heath, and black charred spaces between the white sand hills. The women carried hymn books, and walked into the church. Oh, pray, pray for those who are wandering to find graves beyond the foaming billows.'",what the moon saw_segment_48.txt," 'The morning dawn came glimmering red. It seemed to them a message from the sun, of fortune that was to gleam brightly upon them. They heard the dying nightingale sing; it was no false prophet, but"
"

	And, as Iâm telling you, there was Bob in this race with one of Mr. Mathersâ horses, was named About Ben Ahem or something like that, and was fast as a streak. He was a gelding and had a mark of 2. 21, but could step in . 08 or . 09.",im a fool_segment_25.txt," Bob in this race with one of Mr. Mathersâs horses, was named About Ben Ahem or something like that . He was a gelding and had a mark of 2. 21, but"
"

	The Moon told me no more; his visit this evening was far too short. But I thought of the old woman in the narrow despised street. It would have cost her but a word, and a brilliant house would have arisen for her on the banks of the Thamesâa word, and a villa would have been prepared in the Bay of Naples.",what the moon saw_segment_71.txt," The Moon told me no more; his visit this evening was far too short. But I thought of the old woman in the narrow despised street. It would have cost her but a word, and a brilliant house would have arisen for her"
"

	His fellow-traveller stood by with folded hands, gazing on the dark wood and the towns bathed in the warm sunshine. At this moment there sounded over their heads sweet music. They looked up, and discovered a large white swan hovering in the air, and singing as never bird sang before. But the song soon became weaker and weaker, the birds head drooped, and he sunk slowly down, and lay dead at their feet.

	It is a beautiful bird, said the traveller, and these large white wings are worth a great deal of money. I will take them with me. You see now that a sword will be very useful.",the travelling companion_segment_26.txt," A large white swan was flying in the air, singing as never bird sang before . But the song soon became weaker and weaker, the birds head drooped, and he sunk slowly down at their feet ."
"

	'Pleeseman X,' gave it civilly; but I greatly fear he did not believe that the muddy-faced woman with a croaky voice, and the blonde damsel with curls, long earrings and light gloves, were really respectable members of the glorious American Republic.

	I felt this and I could not blame him; so, thanking him with a bow which would have done credit to the noblest of my Hancock and Quincy ancestors, we went on again.",lost in a london fog_segment_16.txt," 'Pleeseman X,' gave it civilly; but I greatly fear he did not believe that the muddy-faced woman with a croaky voice, and the blonde damsel with curls, long earrings and light gloves, were"
"

	'His Holiness waited until Rao had finished, and then he said, with the same inscrutable smile playing about the corners of his thin lips: 'I furthermore sentence you to have torn from your body the sacred thread of your caste, though'âhere he smiled againâ'I hardly believe that you, who have voluntarily given up your caste and who mock at everything connected with it, can by any chance still have the thread about your person.'",strength of the little thin thread_segment_6.txt," His Holiness waited until Rao had finished, then he said: 'I furthermore sentence you to have torn from your body the sacred thread of your caste' 'I hardly believe that you, who have voluntarily given up your caste and who"
"

	'It was an old withered stem. It had been sawn off at the top, and a stork had built his nest upon it; and he stood in this nest clapping with his beak. A little boy came and stood by the girl's side: they were brother and sister.",what the moon saw_segment_42.txt," It was an old withered stem, and a stork had built his nest upon it; and he stood in this nest clapping with his beak . A little boy came and stood by the girl's side: they were brother"
"

	'I never ask a question twice,' said the beetle, after he had asked this one three times, and received no answer. Then he went on a little farther and stumbled against a piece of broken crockery-ware, which certainly ought not to have been lying there. But as it was there, it formed a good shelter against wind and weather to several families of earwigs who dwelt in it. Their requirements were not many, they were very sociable, and full of affection for their children, so much so that each mother considered her own child the most beautiful and clever of them all.",the beetle who went on his travels_segment_10.txt, The beetle stumbled against a piece of broken crockery-ware which formed a good shelter against wind and weather to several families of earwigs .
"

	'Nothing but sit here and drift about till morning. The man has probably tumbled off; this dreadful horse is evidently wound up and won't stop till he has run down; the fog is increasing, and nothing will bring us to a halt but a collision with some other shipwrecked Yankee, as lost and miserable as we are.'

	'Oh, L, don't be sarcastic and grim now! Do exert yourself and land somewhere. Go to a hotel. This horrid man must know where the Langham is.'",lost in a london fog_segment_19.txt," The man has probably tumbled off; this dreadful horse is evidently wound up and won't stop till he has run down; the fog is increasing, and nothing will bring us to a halt but a collision with some other shipwrecked"
"

	'I don't wish to croak, dear; but if this man does not stop soon, I shall begin to think we have gently stepped out of the frying-pan into the fire. Unless we were several miles out of our way, we ought to arrive somewhere,' I responded, flattening my nose against the pane, though I literally could not see one inch before that classical feature.",lost in a london fog_segment_34.txt," 'I don't wish to croak, dear; but if this man does not stop soon, I shall begin to think we have gently stepped out of the frying-pan into the fire. Unless we were several miles out of our"
"

	John continued his journey, and thought of all the wonderful things he should see in the large, beautiful world, till he found himself farther away from home than ever he had been before. He did not even know the names of the places he passed through, and could scarcely understand the language of the people he met, for he was far away, in a strange land. The first night he slept on a haystack, out in the fields, for there was no other bed for him; but it seemed to him so nice and comfortable that even a king need not wish for a better. The field, the brook, the haystack, with the blue sky above, formed a beautiful sleeping-room. The green grass, with the little red and white flowers, was the carpet; the elder-bushes and the hedges of wild roses looked like garlands on the walls; and for a bath he could have the clear, fresh water of the brook; while the rushes bowed their heads to him, to wish him good morning and good evening. The moon, like a large lamp, hung high up in the blue ceiling, and he had no fear of its setting fire to his curtains. John slept here quite safely all night; and when he awoke, the sun was up, and all the little birds were singing round him, Good morning, good morning. Are you not up yet?",the travelling companion_segment_10.txt," The first night he slept on a haystack, out in the fields, for there was no other bed for him . But it seemed to him so nice and comfortable that even a king need not wish for a better . For a bath"
"

	'That is quite out in the great world, on the other side of the ditch,' answered an earwig, 'I hope none of my children will ever go so far, it would be the death of me.'",the beetle who went on his travels_segment_16.txt," 'I hope none of my children will ever go so far, it would be the death of me,' said an earwig . 'That is quite out in the great world, on the other side of the ditch,' said the ear"
"

	Learn from my fate not to take pity on a scoundrel.

	7.4                Add  The Farmer And The Snake to your library.     ",the farmer and the snake_segment_2.txt," The Farmer And The Snake is published in paperback and hard-sellers' favourite book, The Farmer and The Snake . The book is available in the UK and Australia ."
"

	Because when Burt and I were out, as Iâve told you, the year before, there was a n----- Burt knew, worked for Mr. Mathers, and we went out there one day when we didnât have no race on at the Marietta Fair and our boss Harry was gone home.",im a fool_segment_26.txt," There was a n----- Burt knew, worked for Mr. Mathers, and we went out there one day when we didnât have no race on at the Marietta Fair and our boss Harry"
"

	NINETEENTH EVENING

	'I come from Rome,' said the Moon. 'In the midst of the city, upon one of the seven hills, lie the ruins of the imperial palace. The wild fig tree grows in the clefts of the wall, and covers the nakedness thereof with its broad grey-green leaves; trampling among heaps of rubbish, the ass treads upon green laurels, and rejoices over the rank thistles. From this spot, whence the eagles of Rome once flew abroad, whence they 'came, saw, and conquered,' our door leads into a little mean house, built of clay between two pillars; the wild vine hangs like a mourning garland over the crooked window. An old woman and her little granddaughter live there: they rule now in the palace of the Caesars, and show to strangers the remains of its past glories. Of the splendid throne-hall only a naked wall yet stands, and a black cypress throws its dark shadow on the spot where the throne once stood. The dust lies several feet deep on the broken pavement; and the little maiden, now the daughter of the imperial palace, often sits there on her stool when the evening bells ring. The keyhole of the door close by she calls her turret window; through this she can see half Rome, as far as the mighty cupola of St. Peter's.",what the moon saw_segment_58.txt," An old woman and her granddaughter rule now in the palace of the Caesars, and show to strangers the remains of its past glories ."
A hungry Wolf spied a Goat browsing at the top of a steep cliff where he could not possibly get at her.,the wolf and the goat_segment_0.txt, A hungry Wolf spied a Goat browsing at the top of a steep cliff where he could not possibly get at her .
"

	You know how it is. Gee, she was a peach! She had on a soft dress, kind of a blue stuff and it looked carelessly made, but was well sewed and made and everything. I knew that much. I blushed when she looked right at me and so did she. She was the nicest girl Iâve ever seen in my life. She wasnât stuck on herself and she could talk proper grammar without being like a school teacher or something like that. What I mean is, she was O. K. I think maybe her father was well-to-do, but not rich to make her chesty because she was his daughter, as some are. Maybe he owned a drug store or a drygoods store in their home town, or something like that. She never told me and I never asked.",im a fool_segment_19.txt," She was the nicest girl Iâve ever seen in my life . Maybe her father was well-to-do, but not rich to make her chesty because she was his daughter . Maybe he owned a"
"

	'He isn't tipsy, only stupid, as we are, not to have engaged a carriage to come for us.'

	'He is tipsy; I smelt gin in his breath, and he is half asleep up there, I've no doubt, for we have passed one, if not two policemen, I'm sure.'",lost in a london fog_segment_11.txt," 'He isn't tipsy, only stupid, as we are, not to have engaged a carriage to come for us' 'He is tipsy; I smelt gin in his breath, and he is half asleep up there,"
"

	TWENTY-FIRST EVENING

	'I saw a little girl weeping,' said the Moon; 'she was weeping over the depravity of the world. She had received a most beautiful doll as a present. Oh, that was a glorious doll, so fair and delicate! She did not seem created for the sorrows of this world. But the brothers of the little girl, those great naughty boys, had set the doll high up in the branches of a tree and had run away.",what the moon saw_segment_63.txt," The Moon saw a little girl weeping over the depravity of the world . She had received a most beautiful doll as a present . But the brothers of the little girl, those great naughty boys, had set the doll high up in the"
"

	TWENTY-FIFTH EVENING

	'It was yesterday, in the morning twilight'âthese are the words the Moon told meâ'in the great city no chimney was yet smokingâand it was just at the chimneys that I was looking. Suddenly a little head emerged from one of them, and then half a body, the arms resting on the rim of the chimney-pot. 'Ya-hip! ya-hip!' cried a voice. It was the little chimney-sweeper, who had for the first time in his life crept through a chimney, and stuck out his head at the top. 'Ya-hip! ya-hip' Yes, certainly that was a very different thing to creeping about in the dark narrow chimneys! the air blew so fresh, and he could look over the whole city towards the green wood. The sun was just rising. It shone round and great, just in his face, that beamed with triumph, though it was very prettily blacked with soot.",what the moon saw_segment_73.txt," 'Ya-hip! ya-hip!' cried a little chimney-sweeper . It was the first time he had crept through a chimney, and stuck out his head at the top ."
"

	But I did. Burt taught me how to rub down a horse and put the bandages on after a race and steam a horse out and a lot of valuable things for any man to know. He could wrap a bandage on a horseâs leg so smooth that if it had been the same color you would think it was his skin, and I guess heâd have been a big driver, too, and got to the top like Murphy and Walter Cox and the others if he hadnât been black.",im a fool_segment_6.txt, Burt taught me how to rub down a horse and put the bandages on after a race and steam a horse out . He could wrap a bandage on a horseâs leg so smooth that if it had
"

	Gee whizz, craps amighty. There I was. What a chump I was to go and get gay up there in the West House bar, and just because that dude was standing there with a cane and that kind of a necktie on, to go and get all balled up and drink that whiskey, just to show off.",im a fool_segment_33.txt," Gee whizz, craps amighty. There I was to go and get gay up there in the West House bar, and just because that dude was standing there with a cane and that kind of a necktie on, to"
"

	It is one thing to say that something should be done, but quite a different matter to do it

	8.2                Add  Belling The Cat to your library.     ",belling the cat_segment_3.txt," It is one thing to say that something should be done, but quite a different matter to do it . Belling The Cat is one of the world's most popular books ."
